machine_downtime_hours,key_point
6.237528002182154,Factory 1_City D_Type A_2023-01-01
3.73410314598384,Factory 1_City C_Type C_2023-01-02
7.413270926350354,Factory 1_City D_Type B_2023-01-03
7.410407028106792,Factory 1_City C_Type A_2023-01-04
7.260531791408744,Factory 1_City A_Type A_2023-01-05
4.272715355003536,Factory 1_City C_Type C_2023-01-06
7.885203632884806,Factory 1_City B_Type A_2023-01-07
5.881728953926177,Factory 1_City B_Type A_2023-01-08
4.645492971491637,Factory 1_City D_Type B_2023-01-09
4.021096744841537,Factory 1_City C_Type C_2023-01-10
6.753705125810491,Factory 1_City B_Type A_2023-01-11
3.004663621119552,Factory 1_City D_Type C_2023-01-12
6.361489558149629,Factory 1_City D_Type B_2023-01-13
0.1151479090380469,Factory 1_City B_Type C_2023-01-14
6.93759146844003,Factory 1_City D_Type C_2023-01-15
0.94531862097325,Factory 1_City B_Type C_2023-01-16
0.799879097294907,Factory 1_City A_Type B_2023-01-17
1.1439334564226868,Factory 1_City C_Type C_2023-01-18
0.8895798584492107,Factory 1_City C_Type B_2023-01-19
0.6034763767181541,Factory 1_City D_Type C_2023-01-20
4.822255056186388,Factory 1_City A_Type A_2023-01-21
1.0708169504050655,Factory 1_City A_Type B_2023-01-22
6.531085881704499,Factory 1_City C_Type C_2023-01-23
1.1765878474323035,Factory 1_City C_Type A_2023-01-24
0.7096202700564449,Factory 1_City B_Type B_2023-01-25
1.1819127352498136,Factory 1_City B_Type A_2023-01-26
4.461938127603499,Factory 1_City D_Type C_2023-01-27
4.60798734244528,Factory 1_City E_Type C_2023-01-28
2.953843852079169,Factory 1_City E_Type C_2023-01-29
6.252115854011319,Factory 1_City A_Type B_2023-01-30
3.452225145091541,Factory 1_City E_Type C_2023-01-31
3.271641416683946,Factory 1_City E_Type A_2023-02-01
5.657909074507189,Factory 1_City D_Type A_2023-02-02
3.1853495487275465,Factory 1_City E_Type B_2023-02-03
4.280557751469269,Factory 1_City D_Type B_2023-02-04
5.151996345912126,Factory 1_City C_Type B_2023-02-05
7.170686548168958,Factory 1_City E_Type B_2023-02-06
7.882938497933877,Factory 1_City A_Type B_2023-02-07
1.120148309283592,Factory 1_City D_Type C_2023-02-08
5.309369322901185,Factory 1_City C_Type B_2023-02-09
0.824749968109959,Factory 1_City C_Type B_2023-02-10
2.5028388520447,Factory 1_City B_Type A_2023-02-11
3.414536453238915,Factory 1_City E_Type B_2023-02-12
2.3760230116390577,Factory 1_City A_Type C_2023-02-13
1.412224256044066,Factory 1_City E_Type B_2023-02-14
3.813414626642947,Factory 1_City A_Type C_2023-02-15
5.871279351629614,Factory 1_City B_Type C_2023-02-16
1.5450629166983445,Factory 1_City E_Type A_2023-02-17
4.967324142139817,Factory 1_City B_Type B_2023-02-18
5.236089714249082,Factory 1_City B_Type C_2023-02-19
6.167374757152416,Factory 1_City A_Type A_2023-02-20
3.1643606710397494,Factory 1_City E_Type B_2023-02-21
5.515719753098126,Factory 1_City B_Type B_2023-02-22
0.4828166719245104,Factory 1_City B_Type B_2023-02-23
6.769962336152394,Factory 1_City E_Type C_2023-02-24
1.900346599391021,Factory 1_City B_Type B_2023-02-25
1.358063240700326,Factory 1_City C_Type B_2023-02-26
1.79760941578144,Factory 1_City B_Type A_2023-02-27
5.38081694580101,Factory 1_City B_Type A_2023-02-28
6.966027602698073,Factory 1_City A_Type A_2023-03-01
3.5553556220096123,Factory 1_City A_Type A_2023-03-02
0.0605029998251369,Factory 1_City E_Type A_2023-03-03
5.672370093779461,Factory 1_City B_Type C_2023-03-04
6.809394086822167,Factory 1_City D_Type B_2023-03-05
3.425596919404918,Factory 1_City E_Type B_2023-03-06
2.594670024923005,Factory 1_City B_Type C_2023-03-07
1.2193281066433397,Factory 1_City E_Type C_2023-03-08
4.804754666884938,Factory 1_City D_Type B_2023-03-09
1.0601973819347874,Factory 1_City B_Type B_2023-03-10
5.201608739185227,Factory 1_City E_Type C_2023-03-11
1.0456830139215958,Factory 1_City E_Type B_2023-03-12
2.971268541201126,Factory 1_City E_Type A_2023-03-13
2.0244674624062764,Factory 1_City A_Type B_2023-03-14
7.538523117385543,Factory 1_City D_Type C_2023-03-15
4.659381265657972,Factory 1_City C_Type B_2023-03-16
5.827925417292906,Factory 1_City E_Type B_2023-03-17
3.4704040980381743,Factory 1_City D_Type C_2023-03-18
5.427030582841135,Factory 1_City A_Type B_2023-03-19
4.485280755329367,Factory 1_City E_Type B_2023-03-20
3.369984426352576,Factory 1_City A_Type B_2023-03-21
1.4888113427702183,Factory 1_City C_Type A_2023-03-22
6.758315490288172,Factory 1_City B_Type B_2023-03-23
4.522642036572879,Factory 1_City C_Type C_2023-03-24
5.3521786986328665,Factory 1_City B_Type B_2023-03-25
4.420108918261802,Factory 1_City B_Type B_2023-03-26
6.857434055990024,Factory 1_City D_Type B_2023-03-27
1.0386115916137406,Factory 1_City B_Type C_2023-03-28
1.9189929020475576,Factory 1_City D_Type B_2023-03-29
2.4424854135738503,Factory 1_City C_Type B_2023-03-30
6.866733414392967,Factory 1_City B_Type B_2023-03-31
6.818110995129452,Factory 1_City A_Type C_2023-04-01
0.6576565096942533,Factory 1_City A_Type A_2023-04-02
2.2145144623304462,Factory 1_City B_Type C_2023-04-03
2.7617851424135367,Factory 1_City A_Type A_2023-04-04
5.322336815824442,Factory 1_City D_Type B_2023-04-05
4.27173978038211,Factory 1_City B_Type A_2023-04-06
7.333081886729658,Factory 1_City C_Type C_2023-04-07
4.248682759081943,Factory 1_City A_Type B_2023-04-08
3.792051427865247,Factory 1_City E_Type B_2023-04-09
4.461670610000351,Factory 1_City D_Type A_2023-04-10
1.0452187505877033,Factory 1_City E_Type C_2023-04-11
4.816935882838236,Factory 1_City C_Type B_2023-04-12
5.864409518879947,Factory 1_City E_Type B_2023-04-13
5.056718636049938,Factory 1_City C_Type C_2023-04-14
7.831848921398471,Factory 1_City A_Type A_2023-04-15
5.9891618730096,Factory 1_City B_Type C_2023-04-16
5.496154132025942,Factory 1_City D_Type C_2023-04-17
0.0230500133249167,Factory 1_City B_Type B_2023-04-18
6.586475438565743,Factory 1_City C_Type C_2023-04-19
4.602843226012448,Factory 1_City D_Type B_2023-04-20
1.972829079824197,Factory 1_City C_Type A_2023-04-21
2.761537667953684,Factory 1_City D_Type C_2023-04-22
3.850667012285319,Factory 1_City C_Type B_2023-04-23
7.681084835243578,Factory 1_City C_Type A_2023-04-24
0.2333581091621157,Factory 1_City C_Type B_2023-04-25
7.345912693403497,Factory 1_City B_Type A_2023-04-26
1.4890871820267837,Factory 1_City B_Type A_2023-04-27
5.7850261910604335,Factory 1_City A_Type B_2023-04-28
5.288114033978562,Factory 1_City E_Type B_2023-04-29
5.556763418026283,Factory 1_City C_Type B_2023-04-30
3.501290625185628,Factory 1_City B_Type A_2023-05-01
7.248696483850084,Factory 1_City C_Type B_2023-05-02
7.922894255986975,Factory 1_City C_Type B_2023-05-03
1.3768848225822214,Factory 1_City B_Type C_2023-05-04
0.0534570337911022,Factory 1_City C_Type B_2023-05-05
3.5070798402460905,Factory 1_City D_Type A_2023-05-06
3.948007937235266,Factory 1_City B_Type B_2023-05-07
7.490244971751413,Factory 1_City D_Type B_2023-05-08
3.5696097678203493,Factory 1_City C_Type A_2023-05-09
7.07501237618377,Factory 1_City A_Type B_2023-05-10
4.657150460622388,Factory 1_City B_Type B_2023-05-11
4.845103114587292,Factory 1_City E_Type C_2023-05-12
6.746609342303065,Factory 1_City A_Type A_2023-05-13
2.569297221087628,Factory 1_City D_Type A_2023-05-14
4.144064531236999,Factory 1_City E_Type B_2023-05-15
5.794755250636317,Factory 1_City B_Type B_2023-05-16
2.9467777103548105,Factory 1_City D_Type B_2023-05-17
5.394070736051993,Factory 1_City E_Type C_2023-05-18
4.647603039105435,Factory 1_City E_Type A_2023-05-19
5.053148120663133,Factory 1_City B_Type C_2023-05-20
1.2295283427536363,Factory 1_City D_Type B_2023-05-21
4.824316440426267,Factory 1_City E_Type B_2023-05-22
2.6100313443291743,Factory 1_City A_Type C_2023-05-23
3.5339719331016566,Factory 1_City C_Type B_2023-05-24
6.397743308949757,Factory 1_City C_Type C_2023-05-25
4.570083759496779,Factory 1_City E_Type B_2023-05-26
1.5960425194368677,Factory 1_City D_Type A_2023-05-27
1.8139294752555568,Factory 1_City E_Type C_2023-05-28
5.212125466631139,Factory 1_City C_Type C_2023-05-29
2.252928336845054,Factory 1_City D_Type B_2023-05-30
0.4807712830253612,Factory 1_City C_Type B_2023-05-31
1.3867444238022468,Factory 1_City D_Type A_2023-06-01
6.2399066152843545,Factory 1_City A_Type C_2023-06-02
0.9256105454424172,Factory 1_City E_Type C_2023-06-03
3.0768886078301456,Factory 1_City E_Type C_2023-06-04
4.405307035526812,Factory 1_City A_Type C_2023-06-05
1.7635680339633515,Factory 1_City C_Type C_2023-06-06
4.584337604952125,Factory 1_City B_Type A_2023-06-07
7.096954537789587,Factory 1_City A_Type C_2023-06-08
0.404979778152593,Factory 1_City B_Type A_2023-06-09
2.540436638956014,Factory 1_City C_Type A_2023-06-10
5.437577734666762,Factory 1_City D_Type B_2023-06-11
0.240170657192575,Factory 1_City B_Type A_2023-06-12
6.547043398236282,Factory 1_City D_Type C_2023-06-13
5.002641359635631,Factory 1_City D_Type B_2023-06-14
3.1830734044561844,Factory 1_City B_Type C_2023-06-15
7.39429656635729,Factory 1_City E_Type C_2023-06-16
0.7367900335967184,Factory 1_City A_Type C_2023-06-17
3.91228620246096,Factory 1_City E_Type C_2023-06-18
