factory,location,date,machine_type,machine_utilization_pcnt,machine_downtime_hours,machine_age_years,cycle_time_minutes,energy_consumption_kwh,energy_efficiency_rating,co2_emissions_kg,factory_machine
Factory 1,City D,2023-01-01,Type A,74.5858697466541,6.237528002182154,7,5.999749158180029,283.6995567863469,A,140.16725176148134,Factory 1_City D_Type A_2023-01-01
Factory 1,City C,2023-01-02,Type C,94.5807721451697,3.73410314598384,3,9.50499251969543,105.3059844639466,A,194.8448049611839,Factory 1_City C_Type C_2023-01-02
Factory 1,City D,2023-01-03,Type B,79.87875590004536,7.413270926350354,8,10.208342600258238,484.4688097397397,A,108.3015934534223,Factory 1_City D_Type B_2023-01-03
Factory 1,City C,2023-01-04,Type A,85.14899936952528,7.410407028106792,9,13.500385777897993,279.78026965528136,A,59.53375254290354,Factory 1_City C_Type A_2023-01-04
Factory 1,City A,2023-01-05,Type A,82.71426727911756,7.260531791408744,7,12.555511385430489,191.51926619664897,D,139.8298199732804,Factory 1_City A_Type A_2023-01-05
Factory 1,City C,2023-01-06,Type C,74.11639632857354,4.272715355003536,5,7.694123337985214,197.65020889910969,C,98.48043980311328,Factory 1_City C_Type C_2023-01-06
Factory 1,City B,2023-01-07,Type A,82.23631900693907,7.885203632884806,7,12.616196153287175,195.05501759695989,C,170.47096345698438,Factory 1_City B_Type A_2023-01-07
Factory 1,City B,2023-01-08,Type A,86.89225292598202,5.881728953926177,7,11.957843993450822,191.42000871891983,D,172.58333003018237,Factory 1_City B_Type A_2023-01-08
Factory 1,City D,2023-01-09,Type B,86.72470636785572,4.645492971491637,14,14.736638367553171,213.5683898949863,B,132.31006840498793,Factory 1_City D_Type B_2023-01-09
Factory 1,City C,2023-01-10,Type C,89.87028258854122,4.021096744841537,1,12.224521152615054,212.30894497634236,C,165.28310214594634,Factory 1_City C_Type C_2023-01-10
Factory 1,City B,2023-01-11,Type A,79.86728667023681,6.753705125810491,8,7.089187176153602,368.4574067296202,C,71.01260228547861,Factory 1_City B_Type A_2023-01-11
Factory 1,City D,2023-01-12,Type C,78.44987892128839,3.004663621119552,7,8.281526674747319,162.01664669109766,B,92.98118781924266,Factory 1_City D_Type C_2023-01-12
Factory 1,City D,2023-01-13,Type B,78.07391182353115,6.361489558149629,3,5.784563813422659,110.140297366183,A,62.13094499257965,Factory 1_City D_Type B_2023-01-13
Factory 1,City B,2023-01-14,Type C,88.94615276160923,0.1151479090380469,12,5.407288023189701,442.1842336044029,D,76.29954048340078,Factory 1_City B_Type C_2023-01-14
Factory 1,City D,2023-01-15,Type C,93.6062899281292,6.93759146844003,11,11.771683423829815,329.34681666877333,A,118.73793357372747,Factory 1_City D_Type C_2023-01-15
Factory 1,City B,2023-01-16,Type C,77.046369369335,0.94531862097325,2,13.77472013527053,394.02841752155433,A,195.13708272803711,Factory 1_City B_Type C_2023-01-16
Factory 1,City A,2023-01-17,Type B,77.44087936273277,0.799879097294907,12,13.471431440955898,241.96207618508825,D,192.50929505762076,Factory 1_City A_Type B_2023-01-17
Factory 1,City C,2023-01-18,Type C,72.92667541069015,1.1439334564226868,10,6.011226761227903,133.64272244599897,A,83.38646263565458,Factory 1_City C_Type C_2023-01-18
Factory 1,City C,2023-01-19,Type B,92.6588596273684,0.8895798584492107,13,9.686606419941263,122.52131027273494,D,165.07922796628577,Factory 1_City C_Type B_2023-01-19
Factory 1,City D,2023-01-20,Type C,87.38527807766619,0.6034763767181541,9,7.944939468394299,498.33255001174825,B,137.64714678846502,Factory 1_City D_Type C_2023-01-20
Factory 1,City A,2023-01-21,Type A,80.28016802180466,4.822255056186388,13,5.762003795991632,476.2127308541534,C,158.857926258254,Factory 1_City A_Type A_2023-01-21
Factory 1,City A,2023-01-22,Type B,70.92054669089978,1.0708169504050655,7,13.129010091300776,499.8870693144522,B,186.97486283864643,Factory 1_City A_Type B_2023-01-22
Factory 1,City C,2023-01-23,Type C,77.69443099427623,6.531085881704499,5,12.91817839469633,335.98235885505443,C,54.31740144700085,Factory 1_City C_Type C_2023-01-23
Factory 1,City C,2023-01-24,Type A,93.73801559144106,1.1765878474323035,1,7.582443882989583,283.65430249530453,B,143.12085266331368,Factory 1_City C_Type A_2023-01-24
Factory 1,City B,2023-01-25,Type B,74.42526210691867,0.7096202700564449,5,7.063337184057925,245.7079444192302,B,99.51492699652331,Factory 1_City B_Type B_2023-01-25
Factory 1,City B,2023-01-26,Type A,71.55853406278104,1.1819127352498136,7,13.444406726336288,399.84649280343496,D,66.07580170096641,Factory 1_City B_Type A_2023-01-26
Factory 1,City D,2023-01-27,Type C,88.42056188487282,4.461938127603499,1,8.787726259512894,234.97873354876725,D,146.88758619974018,Factory 1_City D_Type C_2023-01-27
Factory 1,City E,2023-01-28,Type C,92.41525657435052,4.60798734244528,4,14.750671629451425,296.29951170351376,B,150.29648298866465,Factory 1_City E_Type C_2023-01-28
Factory 1,City E,2023-01-29,Type C,84.84707743894747,2.953843852079169,10,10.489219798889772,180.69218493209436,D,171.4811668781952,Factory 1_City E_Type C_2023-01-29
Factory 1,City A,2023-01-30,Type B,71.20236609910219,6.252115854011319,9,12.995371309195155,430.0530706771189,A,172.1862080347073,Factory 1_City A_Type B_2023-01-30
Factory 1,City E,2023-01-31,Type C,83.57123276533522,3.452225145091541,7,11.937176074033385,166.69230399735326,C,143.01091338927702,Factory 1_City E_Type C_2023-01-31
Factory 1,City E,2023-02-01,Type A,82.1589370498902,3.271641416683946,2,10.98442701205227,326.2033389291895,B,87.76985883604291,Factory 1_City E_Type A_2023-02-01
Factory 1,City D,2023-02-02,Type A,93.0624845294324,5.657909074507189,1,11.06715046382856,269.6522685209544,A,65.63704490777143,Factory 1_City D_Type A_2023-02-02
Factory 1,City E,2023-02-03,Type B,78.3374792922786,3.1853495487275465,10,8.463459943659613,238.78128075849108,B,187.7682087408952,Factory 1_City E_Type B_2023-02-03
Factory 1,City D,2023-02-04,Type B,91.51580044726836,4.280557751469269,1,8.099369262686109,258.9272461830392,C,81.48583896433786,Factory 1_City D_Type B_2023-02-04
