operator_experience_years,operator_training_level,factory,date,key_point
8.491983767203795,Intermediate,Factory 1,2023-01-01,Factory 1_City D_Type A_2023-01-01
7.158097238609412,Advanced,Factory 1,2023-01-02,Factory 1_City C_Type C_2023-01-02
3.528410587186426,Beginner,Factory 1,2023-01-03,Factory 1_City D_Type B_2023-01-03
6.738017242196918,Advanced,Factory 1,2023-01-04,Factory 1_City C_Type A_2023-01-04
3.660703172539426,Intermediate,Factory 1,2023-01-05,Factory 1_City A_Type A_2023-01-05
9.746038744488644,Intermediate,Factory 1,2023-01-06,Factory 1_City C_Type C_2023-01-06
8.347886858974455,Beginner,Factory 1,2023-01-07,Factory 1_City B_Type A_2023-01-07
1.837924910253093,Beginner,Factory 1,2023-01-08,Factory 1_City B_Type A_2023-01-08
7.409612992127823,Intermediate,Factory 1,2023-01-09,Factory 1_City D_Type B_2023-01-09
3.5160430761708272,Advanced,Factory 1,2023-01-10,Factory 1_City C_Type C_2023-01-10
7.273141668957412,Intermediate,Factory 1,2023-01-11,Factory 1_City B_Type A_2023-01-11
8.403405045936925,Advanced,Factory 1,2023-01-12,Factory 1_City D_Type C_2023-01-12
9.236923548638323,Intermediate,Factory 1,2023-01-13,Factory 1_City D_Type B_2023-01-13
4.116738889804607,Intermediate,Factory 1,2023-01-14,Factory 1_City B_Type C_2023-01-14
9.650715074415228,Advanced,Factory 1,2023-01-15,Factory 1_City D_Type C_2023-01-15
6.183321177322761,Intermediate,Factory 1,2023-01-16,Factory 1_City B_Type C_2023-01-16
5.036009697804878,Beginner,Factory 1,2023-01-17,Factory 1_City A_Type B_2023-01-17
5.619935518231536,Advanced,Factory 1,2023-01-18,Factory 1_City C_Type C_2023-01-18
3.137558241632229,Advanced,Factory 1,2023-01-19,Factory 1_City C_Type B_2023-01-19
9.553703356689027,Intermediate,Factory 1,2023-01-20,Factory 1_City D_Type C_2023-01-20
8.794575005503674,Beginner,Factory 1,2023-01-21,Factory 1_City A_Type A_2023-01-21
4.400654943482078,Intermediate,Factory 1,2023-01-22,Factory 1_City A_Type B_2023-01-22
2.9166774535801965,Intermediate,Factory 1,2023-01-23,Factory 1_City C_Type C_2023-01-23
4.074068894108905,Beginner,Factory 1,2023-01-24,Factory 1_City C_Type A_2023-01-24
7.190062453864747,Intermediate,Factory 1,2023-01-25,Factory 1_City B_Type B_2023-01-25
3.423189078544429,Intermediate,Factory 1,2023-01-26,Factory 1_City B_Type A_2023-01-26
6.451973374211985,Beginner,Factory 1,2023-01-27,Factory 1_City D_Type C_2023-01-27
3.5198118429425573,Beginner,Factory 1,2023-01-28,Factory 1_City E_Type C_2023-01-28
6.360748665470599,Intermediate,Factory 1,2023-01-29,Factory 1_City E_Type C_2023-01-29
8.894804867317974,Intermediate,Factory 1,2023-01-30,Factory 1_City A_Type B_2023-01-30
2.365073917594761,Beginner,Factory 1,2023-01-31,Factory 1_City E_Type C_2023-01-31
6.250526152895084,Advanced,Factory 1,2023-02-01,Factory 1_City E_Type A_2023-02-01
3.123154311355731,Intermediate,Factory 1,2023-02-02,Factory 1_City D_Type A_2023-02-02
3.2340379848143668,Advanced,Factory 1,2023-02-03,Factory 1_City E_Type B_2023-02-03
1.328947010632854,Advanced,Factory 1,2023-02-04,Factory 1_City D_Type B_2023-02-04
5.549570911954304,Intermediate,Factory 1,2023-02-05,Factory 1_City C_Type B_2023-02-05
6.62285143938926,Intermediate,Factory 1,2023-02-06,Factory 1_City E_Type B_2023-02-06
9.85961962633197,Beginner,Factory 1,2023-02-07,Factory 1_City A_Type B_2023-02-07
4.448246754245477,Intermediate,Factory 1,2023-02-08,Factory 1_City D_Type C_2023-02-08
2.392049267949126,Intermediate,Factory 1,2023-02-09,Factory 1_City C_Type B_2023-02-09
7.590023977686051,Beginner,Factory 1,2023-02-10,Factory 1_City C_Type B_2023-02-10
3.871904259189301,Advanced,Factory 1,2023-02-11,Factory 1_City B_Type A_2023-02-11
9.981406994800038,Beginner,Factory 1,2023-02-12,Factory 1_City E_Type B_2023-02-12
2.9642849907855773,Beginner,Factory 1,2023-02-13,Factory 1_City A_Type C_2023-02-13
5.725283507742414,Intermediate,Factory 1,2023-02-14,Factory 1_City E_Type B_2023-02-14
3.337784053842936,Intermediate,Factory 1,2023-02-15,Factory 1_City A_Type C_2023-02-15
6.5675024039366585,Advanced,Factory 1,2023-02-16,Factory 1_City B_Type C_2023-02-16
7.849251122518252,Beginner,Factory 1,2023-02-17,Factory 1_City E_Type A_2023-02-17
8.393616526666968,Advanced,Factory 1,2023-02-18,Factory 1_City B_Type B_2023-02-18
4.980688861428193,Beginner,Factory 1,2023-02-19,Factory 1_City B_Type C_2023-02-19
1.011086516497833,Beginner,Factory 1,2023-02-20,Factory 1_City A_Type A_2023-02-20
1.925131640433991,Advanced,Factory 1,2023-02-21,Factory 1_City E_Type B_2023-02-21
5.871667017709634,Intermediate,Factory 1,2023-02-22,Factory 1_City B_Type B_2023-02-22
1.3929549193662507,Intermediate,Factory 1,2023-02-23,Factory 1_City B_Type B_2023-02-23
5.380020472822325,Advanced,Factory 1,2023-02-24,Factory 1_City E_Type C_2023-02-24
6.963591511074883,Intermediate,Factory 1,2023-02-25,Factory 1_City B_Type B_2023-02-25
4.414227309301814,Beginner,Factory 1,2023-02-26,Factory 1_City C_Type B_2023-02-26
9.566306068809151,Beginner,Factory 1,2023-02-27,Factory 1_City B_Type A_2023-02-27
8.477894722075348,Beginner,Factory 1,2023-02-28,Factory 1_City B_Type A_2023-02-28
8.901020431371947,Advanced,Factory 1,2023-03-01,Factory 1_City A_Type A_2023-03-01
5.312636898667579,Beginner,Factory 1,2023-03-02,Factory 1_City A_Type A_2023-03-02
6.556165816716768,Intermediate,Factory 1,2023-03-03,Factory 1_City E_Type A_2023-03-03
2.0107390997009724,Advanced,Factory 1,2023-03-04,Factory 1_City B_Type C_2023-03-04
2.9506582008169806,Intermediate,Factory 1,2023-03-05,Factory 1_City D_Type B_2023-03-05
3.384059025130601,Beginner,Factory 1,2023-03-06,Factory 1_City E_Type B_2023-03-06
1.798906546969916,Beginner,Factory 1,2023-03-07,Factory 1_City B_Type C_2023-03-07
6.476377713938122,Intermediate,Factory 1,2023-03-08,Factory 1_City E_Type C_2023-03-08
6.651550474953723,Intermediate,Factory 1,2023-03-09,Factory 1_City D_Type B_2023-03-09
6.996761972515357,Beginner,Factory 1,2023-03-10,Factory 1_City B_Type B_2023-03-10
3.1526209379433308,Beginner,Factory 1,2023-03-11,Factory 1_City E_Type C_2023-03-11
4.745385983617854,Beginner,Factory 1,2023-03-12,Factory 1_City E_Type B_2023-03-12
5.284163164318898,Beginner,Factory 1,2023-03-13,Factory 1_City E_Type A_2023-03-13
2.3515210073533748,Beginner,Factory 1,2023-03-14,Factory 1_City A_Type B_2023-03-14
9.710740313605276,Beginner,Factory 1,2023-03-15,Factory 1_City D_Type C_2023-03-15
6.5164562424507295,Intermediate,Factory 1,2023-03-16,Factory 1_City C_Type B_2023-03-16
7.1676821450428605,Advanced,Factory 1,2023-03-17,Factory 1_City E_Type B_2023-03-17
2.8363207116600897,Beginner,Factory 1,2023-03-18,Factory 1_City D_Type C_2023-03-18
6.337399007681057,Intermediate,Factory 1,2023-03-19,Factory 1_City A_Type B_2023-03-19
7.713326879323071,Intermediate,Factory 1,2023-03-20,Factory 1_City E_Type B_2023-03-20
6.089949684292964,Intermediate,Factory 1,2023-03-21,Factory 1_City A_Type B_2023-03-21
1.0632628343225723,Intermediate,Factory 1,2023-03-22,Factory 1_City C_Type A_2023-03-22
4.126089936329584,Advanced,Factory 1,2023-03-23,Factory 1_City B_Type B_2023-03-23
7.153786950193383,Beginner,Factory 1,2023-03-24,Factory 1_City C_Type C_2023-03-24
5.475303372832194,Beginner,Factory 1,2023-03-25,Factory 1_City B_Type B_2023-03-25
7.980506658327947,Advanced,Factory 1,2023-03-26,Factory 1_City B_Type B_2023-03-26
3.818457953355541,Intermediate,Factory 1,2023-03-27,Factory 1_City D_Type B_2023-03-27
8.371571624754905,Intermediate,Factory 1,2023-03-28,Factory 1_City B_Type C_2023-03-28
8.593635937660519,Advanced,Factory 1,2023-03-29,Factory 1_City D_Type B_2023-03-29
9.089626493622228,Beginner,Factory 1,2023-03-30,Factory 1_City C_Type B_2023-03-30
5.794082980853995,Advanced,Factory 1,2023-03-31,Factory 1_City B_Type B_2023-03-31
3.4099900793950075,Intermediate,Factory 1,2023-04-01,Factory 1_City A_Type C_2023-04-01
7.323703957769647,Advanced,Factory 1,2023-04-02,Factory 1_City A_Type A_2023-04-02
8.687223978854538,Intermediate,Factory 1,2023-04-03,Factory 1_City B_Type C_2023-04-03
7.568742779636306,Beginner,Factory 1,2023-04-04,Factory 1_City A_Type A_2023-04-04
4.71407793475057,Beginner,Factory 1,2023-04-05,Factory 1_City D_Type B_2023-04-05
2.944462285105185,Advanced,Factory 1,2023-04-06,Factory 1_City B_Type A_2023-04-06
2.4906551232543883,Beginner,Factory 1,2023-04-07,Factory 1_City C_Type C_2023-04-07
9.67615666405932,Intermediate,Factory 1,2023-04-08,Factory 1_City A_Type B_2023-04-08
5.872668466128267,Beginner,Factory 1,2023-04-09,Factory 1_City E_Type B_2023-04-09
3.704404470403891,Beginner,Factory 1,2023-04-10,Factory 1_City D_Type A_2023-04-10
1.843051786353192,Intermediate,Factory 1,2023-04-11,Factory 1_City E_Type C_2023-04-11
1.562118342571643,Advanced,Factory 1,2023-04-12,Factory 1_City C_Type B_2023-04-12
8.507301373006083,Advanced,Factory 1,2023-04-13,Factory 1_City E_Type B_2023-04-13
7.363778295400284,Intermediate,Factory 1,2023-04-14,Factory 1_City C_Type C_2023-04-14
5.99191613231586,Intermediate,Factory 1,2023-04-15,Factory 1_City A_Type A_2023-04-15
4.063336716751865,Beginner,Factory 1,2023-04-16,Factory 1_City B_Type C_2023-04-16
3.505954674253911,Beginner,Factory 1,2023-04-17,Factory 1_City D_Type C_2023-04-17
2.941666112588087,Advanced,Factory 1,2023-04-18,Factory 1_City B_Type B_2023-04-18
4.722784074267717,Advanced,Factory 1,2023-04-19,Factory 1_City C_Type C_2023-04-19
4.132860338514593,Advanced,Factory 1,2023-04-20,Factory 1_City D_Type B_2023-04-20
6.801320572681092,Intermediate,Factory 1,2023-04-21,Factory 1_City C_Type A_2023-04-21
3.072258286394632,Intermediate,Factory 1,2023-04-22,Factory 1_City D_Type C_2023-04-22
9.562868293256493,Advanced,Factory 1,2023-04-23,Factory 1_City C_Type B_2023-04-23
2.464297694277093,Intermediate,Factory 1,2023-04-24,Factory 1_City C_Type A_2023-04-24
5.333944062482688,Beginner,Factory 1,2023-04-25,Factory 1_City C_Type B_2023-04-25
4.882425838966672,Advanced,Factory 1,2023-04-26,Factory 1_City B_Type A_2023-04-26
8.522433351194644,Intermediate,Factory 1,2023-04-27,Factory 1_City B_Type A_2023-04-27
