product_category,key_point
Foam Grade A,Factory 1_City D_Type A_2023-01-01
Custom Size,Factory 1_City C_Type C_2023-01-02
Custom Size,Factory 1_City D_Type B_2023-01-03
Foam Grade A,Factory 1_City C_Type A_2023-01-04
Foam Grade B,Factory 1_City A_Type A_2023-01-05
Custom Size,Factory 1_City C_Type C_2023-01-06
Foam Grade B,Factory 1_City B_Type A_2023-01-07
Custom Size,Factory 1_City B_Type A_2023-01-08
Custom Size,Factory 1_City D_Type B_2023-01-09
Foam Grade A,Factory 1_City C_Type C_2023-01-10
Foam Grade A,Factory 1_City B_Type A_2023-01-11
Foam Grade A,Factory 1_City D_Type C_2023-01-12
Foam Grade B,Factory 1_City D_Type B_2023-01-13
Foam Grade B,Factory 1_City B_Type C_2023-01-14
Foam Grade A,Factory 1_City D_Type C_2023-01-15
Custom Size,Factory 1_City B_Type C_2023-01-16
Foam Grade A,Factory 1_City A_Type B_2023-01-17
Foam Grade A,Factory 1_City C_Type C_2023-01-18
Foam Grade A,Factory 1_City C_Type B_2023-01-19
Foam Grade A,Factory 1_City D_Type C_2023-01-20
Foam Grade A,Factory 1_City A_Type A_2023-01-21
Foam Grade A,Factory 1_City A_Type B_2023-01-22
Foam Grade B,Factory 1_City C_Type C_2023-01-23
Custom Size,Factory 1_City C_Type A_2023-01-24
Foam Grade A,Factory 1_City B_Type B_2023-01-25
Foam Grade A,Factory 1_City B_Type A_2023-01-26
Foam Grade B,Factory 1_City D_Type C_2023-01-27
Foam Grade B,Factory 1_City E_Type C_2023-01-28
Foam Grade B,Factory 1_City E_Type C_2023-01-29
Custom Size,Factory 1_City A_Type B_2023-01-30
Custom Size,Factory 1_City E_Type C_2023-01-31
Foam Grade B,Factory 1_City E_Type A_2023-02-01
Custom Size,Factory 1_City D_Type A_2023-02-02
Foam Grade A,Factory 1_City E_Type B_2023-02-03
Foam Grade B,Factory 1_City D_Type B_2023-02-04
Foam Grade A,Factory 1_City C_Type B_2023-02-05
Custom Size,Factory 1_City E_Type B_2023-02-06
Custom Size,Factory 1_City A_Type B_2023-02-07
Foam Grade B,Factory 1_City D_Type C_2023-02-08
Foam Grade A,Factory 1_City C_Type B_2023-02-09
Foam Grade B,Factory 1_City C_Type B_2023-02-10
Custom Size,Factory 1_City B_Type A_2023-02-11
Foam Grade A,Factory 1_City E_Type B_2023-02-12
Custom Size,Factory 1_City A_Type C_2023-02-13
Foam Grade B,Factory 1_City E_Type B_2023-02-14
Foam Grade A,Factory 1_City A_Type C_2023-02-15
Foam Grade A,Factory 1_City B_Type C_2023-02-16
Custom Size,Factory 1_City E_Type A_2023-02-17
Custom Size,Factory 1_City B_Type B_2023-02-18
Foam Grade B,Factory 1_City B_Type C_2023-02-19
Foam Grade A,Factory 1_City A_Type A_2023-02-20
Foam Grade B,Factory 1_City E_Type B_2023-02-21
Foam Grade B,Factory 1_City B_Type B_2023-02-22
Custom Size,Factory 1_City B_Type B_2023-02-23
Foam Grade B,Factory 1_City E_Type C_2023-02-24
Foam Grade A,Factory 1_City B_Type B_2023-02-25
Foam Grade A,Factory 1_City C_Type B_2023-02-26
Custom Size,Factory 1_City B_Type A_2023-02-27
Foam Grade A,Factory 1_City B_Type A_2023-02-28
Foam Grade A,Factory 1_City A_Type A_2023-03-01
Foam Grade A,Factory 1_City A_Type A_2023-03-02
Custom Size,Factory 1_City E_Type A_2023-03-03
Foam Grade A,Factory 1_City B_Type C_2023-03-04
Custom Size,Factory 1_City D_Type B_2023-03-05
Foam Grade A,Factory 1_City E_Type B_2023-03-06
Custom Size,Factory 1_City B_Type C_2023-03-07
Foam Grade A,Factory 1_City E_Type C_2023-03-08
Foam Grade B,Factory 1_City D_Type B_2023-03-09
Foam Grade A,Factory 1_City B_Type B_2023-03-10
Foam Grade B,Factory 1_City E_Type C_2023-03-11
Custom Size,Factory 1_City E_Type B_2023-03-12
Foam Grade B,Factory 1_City E_Type A_2023-03-13
Foam Grade A,Factory 1_City A_Type B_2023-03-14
Custom Size,Factory 1_City D_Type C_2023-03-15
Custom Size,Factory 1_City C_Type B_2023-03-16
