supplier,supplier_delays_days,raw_material_quality,key_point
Supplier A,1,Medium,Factory 1_City D_Type A_2023-01-01
Supplier C,1,High,Factory 1_City C_Type C_2023-01-02
Supplier A,0,High,Factory 1_City D_Type B_2023-01-03
Supplier C,1,Low,Factory 1_City C_Type A_2023-01-04
Supplier B,0,Medium,Factory 1_City A_Type A_2023-01-05
Supplier A,0,High,Factory 1_City C_Type C_2023-01-06
Supplier A,0,Low,Factory 1_City B_Type A_2023-01-07
Supplier C,0,High,Factory 1_City B_Type A_2023-01-08
Supplier C,0,High,Factory 1_City D_Type B_2023-01-09
Supplier A,0,Medium,Factory 1_City C_Type C_2023-01-10
Supplier B,0,Medium,Factory 1_City B_Type A_2023-01-11
Supplier A,1,High,Factory 1_City D_Type C_2023-01-12
Supplier A,1,High,Factory 1_City D_Type B_2023-01-13
Supplier B,1,High,Factory 1_City B_Type C_2023-01-14
Supplier C,1,Medium,Factory 1_City D_Type C_2023-01-15
Supplier B,1,High,Factory 1_City B_Type C_2023-01-16
Supplier A,0,High,Factory 1_City A_Type B_2023-01-17
Supplier A,1,High,Factory 1_City C_Type C_2023-01-18
Supplier A,1,High,Factory 1_City C_Type B_2023-01-19
Supplier B,1,Medium,Factory 1_City D_Type C_2023-01-20
Supplier B,0,Medium,Factory 1_City A_Type A_2023-01-21
Supplier C,0,High,Factory 1_City A_Type B_2023-01-22
Supplier B,1,Low,Factory 1_City C_Type C_2023-01-23
Supplier C,1,High,Factory 1_City C_Type A_2023-01-24
Supplier A,1,High,Factory 1_City B_Type B_2023-01-25
Supplier C,1,Medium,Factory 1_City B_Type A_2023-01-26
Supplier B,0,Medium,Factory 1_City D_Type C_2023-01-27
Supplier C,1,High,Factory 1_City E_Type C_2023-01-28
Supplier C,0,High,Factory 1_City E_Type C_2023-01-29
Supplier B,1,Low,Factory 1_City A_Type B_2023-01-30
Supplier A,1,Medium,Factory 1_City E_Type C_2023-01-31
Supplier C,1,Medium,Factory 1_City E_Type A_2023-02-01
Supplier A,0,Low,Factory 1_City D_Type A_2023-02-02
Supplier A,0,High,Factory 1_City E_Type B_2023-02-03
Supplier C,0,Medium,Factory 1_City D_Type B_2023-02-04
Supplier C,0,High,Factory 1_City C_Type B_2023-02-05
Supplier C,0,High,Factory 1_City E_Type B_2023-02-06
Supplier A,0,Medium,Factory 1_City A_Type B_2023-02-07
Supplier C,0,Low,Factory 1_City D_Type C_2023-02-08
Supplier A,1,High,Factory 1_City C_Type B_2023-02-09
Supplier B,1,High,Factory 1_City C_Type B_2023-02-10
Supplier C,1,High,Factory 1_City B_Type A_2023-02-11
Supplier B,0,High,Factory 1_City E_Type B_2023-02-12
Supplier B,0,Low,Factory 1_City A_Type C_2023-02-13
Supplier B,0,Low,Factory 1_City E_Type B_2023-02-14
Supplier A,1,High,Factory 1_City A_Type C_2023-02-15
Supplier B,0,Low,Factory 1_City B_Type C_2023-02-16
Supplier C,1,High,Factory 1_City E_Type A_2023-02-17
Supplier B,0,Medium,Factory 1_City B_Type B_2023-02-18
Supplier C,1,High,Factory 1_City B_Type C_2023-02-19
Supplier B,1,High,Factory 1_City A_Type A_2023-02-20
Supplier A,1,Medium,Factory 1_City E_Type B_2023-02-21
Supplier C,0,Low,Factory 1_City B_Type B_2023-02-22
Supplier B,0,High,Factory 1_City B_Type B_2023-02-23
Supplier C,1,Low,Factory 1_City E_Type C_2023-02-24
Supplier A,1,Medium,Factory 1_City B_Type B_2023-02-25
Supplier A,0,Low,Factory 1_City C_Type B_2023-02-26
Supplier C,0,Medium,Factory 1_City B_Type A_2023-02-27
Supplier B,1,High,Factory 1_City B_Type A_2023-02-28
Supplier B,1,Low,Factory 1_City A_Type A_2023-03-01
Supplier B,1,High,Factory 1_City A_Type A_2023-03-02
Supplier C,1,Medium,Factory 1_City E_Type A_2023-03-03
Supplier B,1,High,Factory 1_City B_Type C_2023-03-04
Supplier C,1,Low,Factory 1_City D_Type B_2023-03-05
Supplier A,0,Medium,Factory 1_City E_Type B_2023-03-06
Supplier A,0,Medium,Factory 1_City B_Type C_2023-03-07
Supplier B,1,High,Factory 1_City E_Type C_2023-03-08
Supplier C,1,Low,Factory 1_City D_Type B_2023-03-09
Supplier C,1,High,Factory 1_City B_Type B_2023-03-10
Supplier B,0,Low,Factory 1_City E_Type C_2023-03-11
Supplier A,1,Low,Factory 1_City E_Type B_2023-03-12
Supplier B,0,Medium,Factory 1_City E_Type A_2023-03-13
Supplier A,0,Low,Factory 1_City A_Type B_2023-03-14
Supplier B,0,High,Factory 1_City D_Type C_2023-03-15
Supplier B,0,High,Factory 1_City C_Type B_2023-03-16
Supplier C,0,High,Factory 1_City E_Type B_2023-03-17
Supplier C,0,Medium,Factory 1_City D_Type C_2023-03-18
Supplier A,1,Medium,Factory 1_City A_Type B_2023-03-19
Supplier A,1,Medium,Factory 1_City E_Type B_2023-03-20
Supplier A,1,Medium,Factory 1_City A_Type B_2023-03-21
Supplier C,1,High,Factory 1_City C_Type A_2023-03-22
Supplier C,1,Low,Factory 1_City B_Type B_2023-03-23
Supplier B,1,Medium,Factory 1_City C_Type C_2023-03-24
Supplier B,1,Medium,Factory 1_City B_Type B_2023-03-25
Supplier A,1,High,Factory 1_City B_Type B_2023-03-26
Supplier A,1,Low,Factory 1_City D_Type B_2023-03-27
Supplier C,1,Low,Factory 1_City B_Type C_2023-03-28
Supplier B,1,Low,Factory 1_City D_Type B_2023-03-29
Supplier C,0,Low,Factory 1_City C_Type B_2023-03-30
Supplier A,0,High,Factory 1_City B_Type B_2023-03-31
Supplier A,1,High,Factory 1_City A_Type C_2023-04-01
Supplier A,0,Medium,Factory 1_City A_Type A_2023-04-02
Supplier B,0,High,Factory 1_City B_Type C_2023-04-03
Supplier A,0,Medium,Factory 1_City A_Type A_2023-04-04
Supplier C,0,Medium,Factory 1_City D_Type B_2023-04-05
Supplier A,1,Low,Factory 1_City B_Type A_2023-04-06
Supplier C,1,Low,Factory 1_City C_Type C_2023-04-07
Supplier C,1,Low,Factory 1_City A_Type B_2023-04-08
Supplier A,1,High,Factory 1_City E_Type B_2023-04-09
Supplier A,0,High,Factory 1_City D_Type A_2023-04-10
Supplier B,0,High,Factory 1_City E_Type C_2023-04-11
Supplier C,1,High,Factory 1_City C_Type B_2023-04-12
Supplier A,0,High,Factory 1_City E_Type B_2023-04-13
Supplier C,0,Medium,Factory 1_City C_Type C_2023-04-14
Supplier A,1,Low,Factory 1_City A_Type A_2023-04-15
Supplier A,0,Low,Factory 1_City B_Type C_2023-04-16
Supplier B,0,High,Factory 1_City D_Type C_2023-04-17
Supplier A,1,Low,Factory 1_City B_Type B_2023-04-18
