team_size,key_point
10,Factory 1_City D_Type A_2023-01-01
19,Factory 1_City C_Type C_2023-01-02
16,Factory 1_City D_Type B_2023-01-03
15,Factory 1_City C_Type A_2023-01-04
9,Factory 1_City A_Type A_2023-01-05
8,Factory 1_City C_Type C_2023-01-06
5,Factory 1_City B_Type A_2023-01-07
16,Factory 1_City B_Type A_2023-01-08
5,Factory 1_City D_Type B_2023-01-09
10,Factory 1_City C_Type C_2023-01-10
15,Factory 1_City B_Type A_2023-01-11
10,Factory 1_City D_Type C_2023-01-12
19,Factory 1_City D_Type B_2023-01-13
18,Factory 1_City B_Type C_2023-01-14
14,Factory 1_City D_Type C_2023-01-15
7,Factory 1_City B_Type C_2023-01-16
7,Factory 1_City A_Type B_2023-01-17
10,Factory 1_City C_Type C_2023-01-18
13,Factory 1_City C_Type B_2023-01-19
12,Factory 1_City D_Type C_2023-01-20
17,Factory 1_City A_Type A_2023-01-21
9,Factory 1_City A_Type B_2023-01-22
10,Factory 1_City C_Type C_2023-01-23
19,Factory 1_City C_Type A_2023-01-24
12,Factory 1_City B_Type B_2023-01-25
9,Factory 1_City B_Type A_2023-01-26
5,Factory 1_City D_Type C_2023-01-27
16,Factory 1_City E_Type C_2023-01-28
12,Factory 1_City E_Type C_2023-01-29
13,Factory 1_City A_Type B_2023-01-30
5,Factory 1_City E_Type C_2023-01-31
12,Factory 1_City E_Type A_2023-02-01
14,Factory 1_City D_Type A_2023-02-02
13,Factory 1_City E_Type B_2023-02-03
18,Factory 1_City D_Type B_2023-02-04
12,Factory 1_City C_Type B_2023-02-05
15,Factory 1_City E_Type B_2023-02-06
14,Factory 1_City A_Type B_2023-02-07
14,Factory 1_City D_Type C_2023-02-08
13,Factory 1_City C_Type B_2023-02-09
9,Factory 1_City C_Type B_2023-02-10
14,Factory 1_City B_Type A_2023-02-11
8,Factory 1_City E_Type B_2023-02-12
14,Factory 1_City A_Type C_2023-02-13
15,Factory 1_City E_Type B_2023-02-14
9,Factory 1_City A_Type C_2023-02-15
10,Factory 1_City B_Type C_2023-02-16
14,Factory 1_City E_Type A_2023-02-17
19,Factory 1_City B_Type B_2023-02-18
15,Factory 1_City B_Type C_2023-02-19
11,Factory 1_City A_Type A_2023-02-20
18,Factory 1_City E_Type B_2023-02-21
6,Factory 1_City B_Type B_2023-02-22
16,Factory 1_City B_Type B_2023-02-23
6,Factory 1_City E_Type C_2023-02-24
11,Factory 1_City B_Type B_2023-02-25
15,Factory 1_City C_Type B_2023-02-26
6,Factory 1_City B_Type A_2023-02-27
19,Factory 1_City B_Type A_2023-02-28
11,Factory 1_City A_Type A_2023-03-01
9,Factory 1_City A_Type A_2023-03-02
9,Factory 1_City E_Type A_2023-03-03
17,Factory 1_City B_Type C_2023-03-04
5,Factory 1_City D_Type B_2023-03-05
9,Factory 1_City E_Type B_2023-03-06
9,Factory 1_City B_Type C_2023-03-07
16,Factory 1_City E_Type C_2023-03-08
18,Factory 1_City D_Type B_2023-03-09
6,Factory 1_City B_Type B_2023-03-10
7,Factory 1_City E_Type C_2023-03-11
15,Factory 1_City E_Type B_2023-03-12
13,Factory 1_City E_Type A_2023-03-13
16,Factory 1_City A_Type B_2023-03-14
19,Factory 1_City D_Type C_2023-03-15
10,Factory 1_City C_Type B_2023-03-16
8,Factory 1_City E_Type B_2023-03-17
14,Factory 1_City D_Type C_2023-03-18
9,Factory 1_City A_Type B_2023-03-19
14,Factory 1_City E_Type B_2023-03-20
14,Factory 1_City A_Type B_2023-03-21
13,Factory 1_City C_Type A_2023-03-22
19,Factory 1_City B_Type B_2023-03-23
5,Factory 1_City C_Type C_2023-03-24
11,Factory 1_City B_Type B_2023-03-25
7,Factory 1_City B_Type B_2023-03-26
18,Factory 1_City D_Type B_2023-03-27
6,Factory 1_City B_Type C_2023-03-28
15,Factory 1_City D_Type B_2023-03-29
7,Factory 1_City C_Type B_2023-03-30
7,Factory 1_City B_Type B_2023-03-31
18,Factory 1_City A_Type C_2023-04-01
8,Factory 1_City A_Type A_2023-04-02
5,Factory 1_City B_Type C_2023-04-03
12,Factory 1_City A_Type A_2023-04-04
17,Factory 1_City D_Type B_2023-04-05
13,Factory 1_City B_Type A_2023-04-06
11,Factory 1_City C_Type C_2023-04-07
8,Factory 1_City A_Type B_2023-04-08
9,Factory 1_City E_Type B_2023-04-09
10,Factory 1_City D_Type A_2023-04-10
8,Factory 1_City E_Type C_2023-04-11
10,Factory 1_City C_Type B_2023-04-12
5,Factory 1_City E_Type B_2023-04-13
16,Factory 1_City C_Type C_2023-04-14
8,Factory 1_City A_Type A_2023-04-15
16,Factory 1_City B_Type C_2023-04-16
15,Factory 1_City D_Type C_2023-04-17
17,Factory 1_City B_Type B_2023-04-18
13,Factory 1_City C_Type C_2023-04-19
18,Factory 1_City D_Type B_2023-04-20
16,Factory 1_City C_Type A_2023-04-21
12,Factory 1_City D_Type C_2023-04-22
12,Factory 1_City C_Type B_2023-04-23
12,Factory 1_City C_Type A_2023-04-24
7,Factory 1_City C_Type B_2023-04-25
15,Factory 1_City B_Type A_2023-04-26
17,Factory 1_City B_Type A_2023-04-27
19,Factory 1_City A_Type B_2023-04-28
8,Factory 1_City E_Type B_2023-04-29
5,Factory 1_City C_Type B_2023-04-30
18,Factory 1_City B_Type A_2023-05-01
16,Factory 1_City C_Type B_2023-05-02
9,Factory 1_City C_Type B_2023-05-03
19,Factory 1_City B_Type C_2023-05-04
8,Factory 1_City C_Type B_2023-05-05
19,Factory 1_City D_Type A_2023-05-06
10,Factory 1_City B_Type B_2023-05-07
16,Factory 1_City D_Type B_2023-05-08
11,Factory 1_City C_Type A_2023-05-09
11,Factory 1_City A_Type B_2023-05-10
17,Factory 1_City B_Type B_2023-05-11
5,Factory 1_City E_Type C_2023-05-12
13,Factory 1_City A_Type A_2023-05-13
18,Factory 1_City D_Type A_2023-05-14
19,Factory 1_City E_Type B_2023-05-15
10,Factory 1_City B_Type B_2023-05-16
13,Factory 1_City D_Type B_2023-05-17
19,Factory 1_City E_Type C_2023-05-18
16,Factory 1_City E_Type A_2023-05-19
10,Factory 1_City B_Type C_2023-05-20
5,Factory 1_City D_Type B_2023-05-21
7,Factory 1_City E_Type B_2023-05-22
6,Factory 1_City A_Type C_2023-05-23
14,Factory 1_City C_Type B_2023-05-24
14,Factory 1_City C_Type C_2023-05-25
19,Factory 1_City E_Type B_2023-05-26
13,Factory 1_City D_Type A_2023-05-27
7,Factory 1_City E_Type C_2023-05-28
5,Factory 1_City C_Type C_2023-05-29
16,Factory 1_City D_Type B_2023-05-30
9,Factory 1_City C_Type B_2023-05-31
5,Factory 1_City D_Type A_2023-06-01
18,Factory 1_City A_Type C_2023-06-02
10,Factory 1_City E_Type C_2023-06-03
10,Factory 1_City E_Type C_2023-06-04
18,Factory 1_City A_Type C_2023-06-05
11,Factory 1_City C_Type C_2023-06-06
12,Factory 1_City B_Type A_2023-06-07
18,Factory 1_City A_Type C_2023-06-08
17,Factory 1_City B_Type A_2023-06-09
17,Factory 1_City C_Type A_2023-06-10
13,Factory 1_City D_Type B_2023-06-11
6,Factory 1_City B_Type A_2023-06-12
15,Factory 1_City D_Type C_2023-06-13
13,Factory 1_City D_Type B_2023-06-14
16,Factory 1_City B_Type C_2023-06-15
16,Factory 1_City E_Type C_2023-06-16
13,Factory 1_City A_Type C_2023-06-17
8,Factory 1_City E_Type C_2023-06-18
15,Factory 1_City D_Type B_2023-06-19
8,Factory 1_City C_Type C_2023-06-20
14,Factory 1_City A_Type B_2023-06-21
12,Factory 1_City E_Type B_2023-06-22
5,Factory 1_City E_Type A_2023-06-23
15,Factory 1_City D_Type B_2023-06-24
15,Factory 1_City B_Type A_2023-06-25
13,Factory 1_City E_Type C_2023-06-26
13,Factory 1_City A_Type B_2023-06-27
18,Factory 1_City D_Type B_2023-06-28
16,Factory 1_City D_Type C_2023-06-29
10,Factory 1_City E_Type C_2023-06-30
5,Factory 1_City B_Type A_2023-07-01
14,Factory 1_City C_Type A_2023-07-02
9,Factory 1_City A_Type A_2023-07-03
10,Factory 1_City E_Type C_2023-07-04
14,Factory 1_City D_Type C_2023-07-05
10,Factory 1_City C_Type B_2023-07-06
7,Factory 1_City D_Type C_2023-07-07
18,Factory 1_City C_Type C_2023-07-08
9,Factory 1_City E_Type B_2023-07-09
6,Factory 1_City B_Type A_2023-07-10
10,Factory 1_City E_Type A_2023-07-11
18,Factory 1_City D_Type C_2023-07-12
10,Factory 1_City C_Type C_2023-07-13
11,Factory 1_City C_Type B_2023-07-14
10,Factory 1_City E_Type B_2023-07-15
9,Factory 1_City C_Type A_2023-07-16
6,Factory 1_City D_Type A_2023-07-17
7,Factory 1_City C_Type B_2023-07-18
14,Factory 1_City B_Type A_2023-07-19
7,Factory 1_City B_Type B_2023-07-20
10,Factory 1_City C_Type A_2023-07-21
12,Factory 1_City C_Type B_2023-07-22
17,Factory 1_City E_Type B_2023-07-23
15,Factory 1_City A_Type B_2023-07-24
12,Factory 1_City C_Type B_2023-07-25
6,Factory 1_City A_Type A_2023-07-26
11,Factory 1_City A_Type A_2023-07-27
17,Factory 1_City E_Type B_2023-07-28
15,Factory 1_City E_Type A_2023-07-29
15,Factory 1_City E_Type B_2023-07-30
8,Factory 1_City A_Type C_2023-07-31
17,Factory 1_City E_Type B_2023-08-01
8,Factory 1_City A_Type A_2023-08-02
17,Factory 1_City A_Type A_2023-08-03
5,Factory 1_City C_Type C_2023-08-04
8,Factory 1_City C_Type B_2023-08-05
9,Factory 1_City A_Type A_2023-08-06
13,Factory 1_City A_Type C_2023-08-07
10,Factory 1_City E_Type B_2023-08-08
8,Factory 1_City C_Type C_2023-08-09
15,Factory 1_City E_Type B_2023-08-10
10,Factory 1_City C_Type B_2023-08-11
11,Factory 1_City A_Type C_2023-08-12
16,Factory 1_City D_Type C_2023-08-13
19,Factory 1_City D_Type B_2023-08-14
8,Factory 1_City C_Type B_2023-08-15
11,Factory 1_City A_Type A_2023-08-16
5,Factory 1_City E_Type C_2023-08-17
17,Factory 1_City B_Type C_2023-08-18
14,Factory 1_City B_Type A_2023-08-19
6,Factory 1_City A_Type B_2023-08-20
18,Factory 1_City D_Type C_2023-08-21
19,Factory 1_City E_Type B_2023-08-22
14,Factory 1_City D_Type A_2023-08-23
18,Factory 1_City E_Type B_2023-08-24
14,Factory 1_City C_Type C_2023-08-25
18,Factory 1_City B_Type A_2023-08-26
5,Factory 1_City A_Type B_2023-08-27
14,Factory 1_City A_Type B_2023-08-28
14,Factory 1_City C_Type B_2023-08-29
17,Factory 1_City E_Type C_2023-08-30
6,Factory 1_City C_Type B_2023-08-31
11,Factory 1_City B_Type C_2023-09-01
14,Factory 1_City B_Type C_2023-09-02
9,Factory 1_City B_Type C_2023-09-03
12,Factory 1_City A_Type B_2023-09-04
15,Factory 1_City C_Type A_2023-09-05
7,Factory 1_City D_Type C_2023-09-06
12,Factory 1_City E_Type B_2023-09-07
5,Factory 1_City B_Type C_2023-09-08
11,Factory 1_City D_Type B_2023-09-09
16,Factory 1_City C_Type B_2023-09-10
6,Factory 1_City D_Type C_2023-09-11
9,Factory 1_City E_Type C_2023-09-12
8,Factory 1_City A_Type A_2023-09-13
5,Factory 1_City B_Type A_2023-09-14
5,Factory 1_City E_Type C_2023-09-15
10,Factory 1_City C_Type B_2023-09-16
18,Factory 1_City C_Type B_2023-09-17
14,Factory 1_City D_Type B_2023-09-18
9,Factory 1_City C_Type C_2023-09-19
15,Factory 1_City D_Type A_2023-09-20
13,Factory 1_City C_Type B_2023-09-21
11,Factory 1_City C_Type A_2023-09-22
18,Factory 1_City B_Type C_2023-09-23
7,Factory 1_City C_Type B_2023-09-24
12,Factory 1_City D_Type C_2023-09-25
5,Factory 1_City B_Type C_2023-09-26
14,Factory 1_City C_Type A_2023-09-27
9,Factory 1_City A_Type A_2023-09-28
13,Factory 1_City D_Type B_2023-09-29
9,Factory 1_City D_Type A_2023-09-30
5,Factory 1_City A_Type C_2023-10-01
13,Factory 1_City A_Type C_2023-10-02
6,Factory 1_City E_Type B_2023-10-03
13,Factory 1_City A_Type B_2023-10-04
17,Factory 1_City B_Type A_2023-10-05
12,Factory 1_City C_Type C_2023-10-06
17,Factory 1_City B_Type B_2023-10-07
17,Factory 1_City D_Type B_2023-10-08
7,Factory 1_City B_Type B_2023-10-09
16,Factory 1_City A_Type A_2023-10-10
15,Factory 1_City A_Type C_2023-10-11
11,Factory 1_City C_Type C_2023-10-12
14,Factory 1_City D_Type C_2023-10-13
9,Factory 1_City D_Type C_2023-10-14
14,Factory 1_City A_Type A_2023-10-15
13,Factory 1_City C_Type A_2023-10-16
10,Factory 1_City E_Type B_2023-10-17
11,Factory 1_City B_Type C_2023-10-18
7,Factory 1_City B_Type B_2023-10-19
15,Factory 1_City B_Type A_2023-10-20
18,Factory 1_City B_Type C_2023-10-21
9,Factory 1_City C_Type C_2023-10-22
14,Factory 1_City A_Type A_2023-10-23
12,Factory 1_City E_Type C_2023-10-24
6,Factory 1_City C_Type B_2023-10-25
5,Factory 1_City A_Type C_2023-10-26
16,Factory 1_City E_Type B_2023-10-27
8,Factory 1_City C_Type C_2023-10-28
16,Factory 1_City A_Type A_2023-10-29
14,Factory 1_City B_Type A_2023-10-30
10,Factory 1_City C_Type B_2023-10-31
14,Factory 1_City A_Type A_2023-11-01
13,Factory 1_City A_Type B_2023-11-02
11,Factory 1_City E_Type C_2023-11-03
