Factory,Date,Location,Machine Type,Machine Utilization (%),Machine Downtime (hours),Maintenance History,Machine Age (years),Batch Quality (Pass %),Cycle Time (minutes),Energy Consumption (kWh),Energy Efficiency Rating,CO2 Emissions (kg),Emission Limit Compliance,Waste Generated (kg),Water Usage (liters),Shift,Operator Experience (years),Team Size,Operator Training Level,Absenteeism Rate (%),Product Category,Supplier,Supplier Delays (days),Raw Material Quality,Market Demand Index,Cost of Downtime ($),Revenue ($),Profit Margin (%),Breakdowns (count),Safety Incidents (count),Defect Root Cause,Production Volume (units),Defect Rate (%)
1,2023-01-01,City D,Type A,74.59,6.24,Regular,7,88.47,6.0,283.7,A,140.17,No,36.04,1225.65,Night,8.0,10,Intermediate,1.82,Foam Grade A,Supplier A,1,Medium,86.73,488.75,9368.44,34.47,1,0,Material Impurity,1199,2.6
1,2023-01-02,City C,Type C,94.58,3.73,Regular,3,92.93,9.5,105.31,A,194.84,No,25.42,1063.87,Night,7.0,19,Advanced,6.1,Custom Size,Supplier C,1,High,68.11,696.27,9675.67,30.8,1,0,Material Impurity,1202,4.03
1,2023-01-03,City D,Type B,79.88,7.41,Regular,8,90.84,10.21,484.47,A,108.3,No,31.59,3347.0,Day,4.0,16,Beginner,1.41,Custom Size,Supplier A,0,High,119.08,795.02,7980.74,10.22,0,0,Assembly Errors,1092,3.63
1,2023-01-04,City C,Type A,85.15,7.41,Irregular,9,97.38,13.5,279.78,A,59.53,Yes,36.75,3663.69,Night,7.0,15,Advanced,4.72,Foam Grade A,Supplier C,1,Low,103.25,605.15,16564.51,29.75,0,0,Internal Defects,1391,1.82
1,2023-01-05,City A,Type A,82.71,7.26,Regular,7,87.8,12.56,191.52,D,139.83,Yes,16.45,4718.79,Day,4.0,9,Intermediate,4.57,Foam Grade B,Supplier B,0,Medium,58.55,420.67,18602.43,20.89,0,0,Surface Defects,1127,2.56
1,2023-01-06,City C,Type C,74.12,4.27,Irregular,5,93.16,7.69,197.65,C,98.48,No,32.32,2615.34,Night,10.0,8,Intermediate,6.96,Custom Size,Supplier A,0,High,119.84,340.1,19649.22,26.44,0,0,,1748,3.4
1,2023-01-07,City B,Type A,82.24,7.89,Irregular,7,92.77,12.62,195.06,C,170.47,Yes,35.29,3534.12,Day,8.0,5,Beginner,3.21,Foam Grade B,Supplier A,0,Low,65.42,740.03,17142.52,23.95,0,0,Material Impurity,988,3.57
1,2023-01-08,City B,Type A,86.89,5.88,Irregular,7,90.29,11.96,191.42,D,172.58,Yes,30.67,2043.32,Day,2.0,16,Beginner,9.0,Custom Size,Supplier C,0,High,74.44,753.36,18456.65,45.48,1,0,Surface Defects,1127,1.75
1,2023-01-09,City D,Type B,86.72,4.65,Irregular,14,97.86,14.74,213.57,B,132.31,No,27.94,4977.83,Night,7.0,5,Intermediate,3.25,Custom Size,Supplier C,0,High,87.98,557.93,14544.99,20.02,1,0,,1062,4.18
1,2023-01-10,City C,Type C,89.87,4.02,Irregular,1,83.71,12.22,212.31,C,165.28,No,17.08,4761.83,Day,4.0,10,Advanced,7.48,Foam Grade A,Supplier A,0,Medium,117.67,967.26,17795.14,21.78,0,0,Surface Defects,1779,2.96
1,2023-01-11,City B,Type A,79.87,6.75,Regular,8,81.34,7.09,368.46,C,71.01,Yes,21.81,2290.2,Night,7.0,15,Intermediate,3.59,Foam Grade A,Supplier B,0,Medium,106.71,880.37,18698.61,30.45,0,0,Material Impurity,1184,2.08
1,2023-01-12,City D,Type C,78.45,3.0,Irregular,7,92.77,8.28,162.02,B,92.98,No,44.42,2001.01,Night,8.0,10,Advanced,1.27,Foam Grade A,Supplier A,1,High,82.01,857.82,7915.7,26.45,0,0,Material Impurity,1155,4.43
1,2023-01-13,City D,Type B,78.07,6.36,Regular,3,88.34,5.78,110.14,A,62.13,Yes,37.84,2635.81,Night,9.0,19,Intermediate,2.4,Foam Grade B,Supplier A,1,High,69.6,959.38,16068.45,32.17,1,0,,746,1.64
1,2023-01-14,City B,Type C,88.95,0.12,Irregular,12,80.87,5.41,442.18,D,76.3,No,13.91,2966.46,Day,4.0,18,Intermediate,6.5,Foam Grade B,Supplier B,1,High,112.07,334.8,5229.57,47.34,1,0,Surface Defects,1515,3.48
1,2023-01-15,City D,Type C,93.61,6.94,Irregular,11,95.22,11.77,329.35,A,118.74,Yes,42.83,3503.76,Day,10.0,14,Advanced,1.96,Foam Grade A,Supplier C,1,Medium,52.73,656.43,10048.31,36.23,0,0,Internal Defects,1469,1.57
1,2023-01-16,City B,Type C,77.05,0.95,Regular,2,91.95,13.77,394.03,A,195.14,No,17.1,4002.46,Night,6.0,7,Intermediate,2.5,Custom Size,Supplier B,1,High,66.7,711.86,16098.63,19.53,1,0,Surface Defects,561,2.99
1,2023-01-17,City A,Type B,77.44,0.8,Irregular,12,98.21,13.47,241.96,D,192.51,No,29.3,2972.1,Night,5.0,7,Beginner,5.54,Foam Grade A,Supplier A,0,High,57.94,937.84,19613.72,49.84,1,0,,1686,4.16
1,2023-01-18,City C,Type C,72.93,1.14,Irregular,10,91.75,6.01,133.64,A,83.39,Yes,42.87,3824.97,Day,6.0,10,Advanced,5.81,Foam Grade A,Supplier A,1,High,116.31,987.4,16300.67,25.05,0,0,Assembly Errors,944,2.63
1,2023-01-19,City C,Type B,92.66,0.89,Regular,13,80.22,9.69,122.52,D,165.08,Yes,35.97,3984.18,Day,3.0,13,Advanced,4.78,Foam Grade A,Supplier A,1,High,117.43,110.94,19548.18,11.73,0,0,,702,4.26
1,2023-01-20,City D,Type C,87.39,0.6,Regular,9,84.12,7.94,498.33,B,137.65,No,39.48,4661.02,Night,10.0,12,Intermediate,4.56,Foam Grade A,Supplier B,1,Medium,77.18,306.46,8989.07,24.41,1,0,Assembly Errors,1001,1.6
1,2023-01-21,City A,Type A,80.28,4.82,Irregular,13,82.53,5.76,476.21,C,158.86,Yes,46.77,1330.99,Night,9.0,17,Beginner,0.26,Foam Grade A,Supplier B,0,Medium,119.11,235.38,13911.96,25.24,1,0,Assembly Errors,1294,3.21
1,2023-01-22,City A,Type B,70.92,1.07,Regular,7,96.43,13.13,499.89,B,186.97,Yes,40.76,4779.06,Night,4.0,9,Intermediate,2.05,Foam Grade A,Supplier C,0,High,64.51,890.4,16354.99,11.88,0,0,Internal Defects,749,3.06
1,2023-01-23,City C,Type C,77.69,6.53,Irregular,5,81.68,12.92,335.98,C,54.32,Yes,41.39,3557.45,Day,3.0,10,Intermediate,3.51,Foam Grade B,Supplier B,1,Low,80.62,913.74,10223.83,30.56,1,0,Material Impurity,1041,3.37
1,2023-01-24,City C,Type A,93.74,1.18,Irregular,1,89.35,7.58,283.65,B,143.12,No,23.15,3533.6,Night,4.0,19,Beginner,4.6,Custom Size,Supplier C,1,High,112.78,526.57,15013.37,16.89,1,0,Assembly Errors,1926,3.97
1,2023-01-25,City B,Type B,74.43,0.71,Regular,5,88.75,7.06,245.71,B,99.51,Yes,11.57,4197.64,Day,7.0,12,Intermediate,1.57,Foam Grade A,Supplier A,1,High,55.92,637.55,19793.85,31.46,1,0,Internal Defects,527,2.61
1,2023-01-26,City B,Type A,71.56,1.18,Regular,7,93.06,13.44,399.85,D,66.08,No,24.17,2588.66,Night,3.0,9,Intermediate,5.64,Foam Grade A,Supplier C,1,Medium,87.47,309.89,10143.9,28.96,1,0,Assembly Errors,732,3.0
1,2023-01-27,City D,Type C,88.42,4.46,Irregular,1,90.72,8.79,234.98,D,146.89,No,19.77,2992.99,Night,6.0,5,Beginner,1.02,Foam Grade B,Supplier B,0,Medium,63.06,356.59,7600.6,45.87,0,0,Assembly Errors,742,1.55
1,2023-01-28,City E,Type C,92.42,4.61,Regular,4,80.1,14.75,296.3,B,150.3,Yes,38.74,3140.15,Night,4.0,16,Beginner,1.87,Foam Grade B,Supplier C,1,High,101.54,576.86,15608.45,40.71,1,0,,638,4.3
1,2023-01-29,City E,Type C,84.85,2.95,Irregular,10,90.42,10.49,180.69,D,171.48,Yes,15.55,1010.84,Day,6.0,12,Intermediate,4.12,Foam Grade B,Supplier C,0,High,108.14,968.52,6864.46,39.23,0,0,Internal Defects,1087,2.64
1,2023-01-30,City A,Type B,71.2,6.25,Regular,9,94.26,13.0,430.05,A,172.19,Yes,35.35,4631.46,Day,9.0,13,Intermediate,8.17,Custom Size,Supplier B,1,Low,93.69,585.8,11581.17,33.1,0,0,Surface Defects,1506,2.65
1,2023-01-31,City E,Type C,83.57,3.45,Regular,7,93.88,11.94,166.69,C,143.01,No,39.66,3292.6,Day,2.0,5,Beginner,2.48,Custom Size,Supplier A,1,Medium,99.98,544.58,16319.53,14.12,0,0,Material Impurity,715,3.31
1,2023-02-01,City E,Type A,82.16,3.27,Regular,2,80.23,10.98,326.2,B,87.77,Yes,43.07,4836.3,Night,6.0,12,Advanced,4.62,Foam Grade B,Supplier C,1,Medium,91.04,555.3,14171.81,10.72,1,0,Assembly Errors,1983,1.81
1,2023-02-02,City D,Type A,93.06,5.66,Irregular,1,90.95,11.07,269.65,A,65.64,Yes,47.02,2803.36,Night,3.0,14,Intermediate,1.86,Custom Size,Supplier A,0,Low,71.8,304.66,14118.42,25.17,0,0,Surface Defects,701,3.91
1,2023-02-03,City E,Type B,78.34,3.19,Regular,10,97.48,8.46,238.78,B,187.77,No,18.98,2809.76,Day,3.0,13,Advanced,1.66,Foam Grade A,Supplier A,0,High,90.64,669.04,5196.42,36.54,0,0,Surface Defects,1607,2.88
1,2023-02-04,City D,Type B,91.52,4.28,Irregular,1,85.69,8.1,258.93,C,81.49,Yes,23.98,2872.93,Day,1.0,18,Advanced,0.66,Foam Grade B,Supplier C,0,Medium,86.71,496.69,11011.45,32.39,0,0,Material Impurity,1787,4.09
