Factory,Date,Location,Machine Type,Machine Utilization (%),Machine Downtime (hours),Maintenance History,Machine Age (years),Batch Quality (Pass %),Cycle Time (minutes),Energy Consumption (kWh),Energy Efficiency Rating,CO2 Emissions (kg),Emission Limit Compliance,Waste Generated (kg),Water Usage (liters),Shift,Operator Experience (years),Team Size,Operator Training Level,Absenteeism Rate (%),Product Category,Supplier,Supplier Delays (days),Raw Material Quality,Market Demand Index,Cost of Downtime ($),Revenue ($),Profit Margin (%),Breakdowns (count),Safety Incidents (count),Defect Root Cause,Production Volume (units),Defect Rate (%)
Factory 1,2023-01-01,City D,Type A,74.5858697466541,6.237528002182154,Regular,7,88.47082230421823,5.999749158180029,283.6995567863469,A,140.16725176148134,No,36.03553891795411,1225.6463161084012,Night,8.491983767203795,10,Intermediate,1.8182496720710062,Foam Grade A,Supplier A,1,Medium,86.73295021425665,488.7505167779042,9368.437102970629,34.474115788895176,1,0,Material Impurity,1199,2.599085529881075
Factory 1,2023-01-02,City C,Type C,94.5807721451697,3.7341031459838394,Regular,3,92.92584323316781,9.50499251969543,105.30598446394661,A,194.8448049611839,No,25.416660101596644,1063.8650088808567,Night,7.158097238609412,19,Advanced,6.099966577826209,Custom Size,Supplier C,1,High,68.11459871200118,696.2700559185838,9675.666141341164,30.802720847112433,1,0,Material Impurity,1202,4.026854323784995
Factory 1,2023-01-03,City D,Type B,79.87875590004536,7.413270926350354,Regular,8,90.83843551370259,10.208342600258238,484.46880973973964,A,108.3015934534223,No,31.58768529556319,3347.004662655393,Day,3.5284105871864266,16,Beginner,1.4092422497476265,Custom Size,Supplier A,0,High,119.08208556203621,795.0202923669917,7980.735223012586,10.220884684944096,0,0,Assembly Errors,1092,3.63402585824595
Factory 1,2023-01-04,City C,Type A,85.14899936952528,7.410407028106792,Irregular,9,97.38423383533183,13.500385777897993,279.78026965528136,A,59.53375254290354,Yes,36.75365010654429,3663.6894264699868,Night,6.738017242196918,15,Advanced,4.722149251619493,Foam Grade A,Supplier C,1,Low,103.25495340318282,605.1494778125466,16564.507699318416,29.75182385457563,0,0,Internal Defects,1391,1.8236742809799134
Factory 1,2023-01-05,City A,Type A,82.71426727911756,7.260531791408744,Regular,7,87.79727553767697,12.555511385430487,191.51926619664897,D,139.8298199732804,Yes,16.448851490160177,4718.790609370292,Day,3.660703172539426,9,Intermediate,4.565345704829102,Foam Grade B,Supplier B,0,Medium,58.546156829047135,420.66805426927743,18602.42662318631,20.88528997538541,0,0,Surface Defects,1127,2.557706569002507
Factory 1,2023-01-06,City C,Type C,74.11639632857354,4.272715355003536,Irregular,5,93.15628462491513,7.694123337985214,197.65020889910966,C,98.48043980311328,No,32.32408008069365,2615.344684232163,Night,9.746038744488645,8,Intermediate,6.963042728397884,Custom Size,Supplier A,0,High,119.84183395342593,340.1029128477565,19649.224337489795,26.44148053272925,0,0,None,1748,3.403054034104091
Factory 1,2023-01-07,City B,Type A,82.23631900693907,7.885203632884806,Irregular,7,92.77057540071169,12.616196153287175,195.05501759695989,C,170.47096345698438,Yes,35.29223322374318,3534.1188430435786,Day,8.347886858974455,5,Beginner,3.2078006497173583,Foam Grade B,Supplier A,0,Low,65.41687332958838,740.034579194216,17142.51569209573,23.946639491669174,0,0,Material Impurity,988,3.5728132143073976
Factory 1,2023-01-08,City B,Type A,86.89225292598202,5.881728953926177,Irregular,7,90.28751150272375,11.957843993450822,191.42000871891986,D,172.58333003018237,Yes,30.66543565084057,2043.316699321636,Day,1.837924910253093,16,Beginner,9.004180571633304,Custom Size,Supplier C,0,High,74.44467022288626,753.3601109832155,18456.653899288656,45.48345697060469,1,0,Surface Defects,1127,1.7524198949851466
Factory 1,2023-01-09,City D,Type B,86.72470636785572,4.645492971491637,Irregular,14,97.86253540669779,14.736638367553173,213.5683898949863,B,132.31006840498793,No,27.936965719449894,4977.829850443282,Night,7.409612992127823,5,Intermediate,3.2539969815926773,Custom Size,Supplier C,0,High,87.97781613884295,557.932669154884,14544.98927278843,20.018472744223367,1,0,None,1062,4.176139665531339
Factory 1,2023-01-10,City C,Type C,89.87028258854122,4.021096744841537,Irregular,1,83.70961676816285,12.224521152615054,212.30894497634233,C,165.28310214594634,No,17.084427176281956,4761.8343374116575,Day,3.5160430761708272,10,Advanced,7.4771877389741395,Foam Grade A,Supplier A,0,Medium,117.66583733305687,967.2579793803276,17795.1418320104,21.77795568278343,0,0,Surface Defects,1779,2.955839622828947
Factory 1,2023-01-11,City B,Type A,79.86728667023681,6.753705125810491,Regular,8,81.33790648614134,7.089187176153602,368.45740672962023,C,71.01260228547861,Yes,21.81162353675755,2290.203056954402,Night,7.273141668957412,15,Intermediate,3.5949115121975517,Foam Grade A,Supplier B,0,Medium,106.70793762754266,880.3650867220933,18698.60828834707,30.453695954437514,0,0,Material Impurity,1184,2.082821860536127
