month,year,Factory,Location,Machine Utilization (%),Operator Experience (years),Market Demand Index,Breakdowns (count),Absenteeism Rate (%),Raw Material Quality,Revenue ($),Batch Quality (Pass %),Cost of Downtime ($),Factory,Production Volume (units)
1,2020,0,0,53,5.22,50,4.75,2.74,0,377589.2,89.74,0.0,0,629.39
1,2020,0,0,59,4.7,70,4.16,3.18,0,332527.05,91.68,0.0,0,665.16
1,2020,0,0,53,5.65,50,4.72,2.69,0,370480.16,89.58,0.0,0,617.54
1,2020,0,0,59,3.95,70,3.59,2.05,0,355045.91,92.43,0.0,0,710.21
1,2020,0,0,57,3.82,150,4.26,1.89,1,534135.2,87.9,33386.11,0,667.72
1,2020,0,0,53,4.7,50,4.64,2.52,0,389617.11,90.03,0.0,0,649.44
1,2020,0,0,57,5.95,150,4.53,2.44,1,474341.88,86.83,29648.61,0,592.97
1,2020,0,0,57,5.78,150,5.39,4.16,1,451106.26,86.22,28196.11,0,563.92
1,2020,0,0,57,5.03,150,4.98,3.34,1,482222.35,86.85,30141.11,0,602.82
1,2020,0,0,59,4.6,70,4.57,4.0,0,325829.52,91.39,0.0,0,651.76
1,2020,0,0,59,6.15,70,3.6,2.07,0,321677.48,91.54,0.0,0,643.46
1,2020,0,0,57,5.12,150,5.45,4.29,1,464425.26,86.42,29028.61,0,580.57
1,2020,0,0,57,6.02,150,4.91,3.21,1,460304.21,86.5,28771.11,0,575.42
1,2020,0,0,57,3.65,150,5.79,4.95,1,488983.97,86.73,30563.61,0,611.27
1,2020,0,0,59,3.9,70,3.93,2.72,0,349098.15,92.18,0.0,0,698.31
1,2020,0,0,57,5.58,150,4.4,2.17,1,487300.28,87.08,30458.61,0,609.17
1,2020,0,0,59,4.92,70,4.03,2.91,0,331826.78,91.7,0.0,0,663.76
1,2020,0,0,57,5.08,150,5.42,4.22,1,466824.95,86.47,29178.61,0,583.57
1,2020,0,0,53,4.3,50,4.66,2.55,0,396366.16,90.18,0.0,0,660.69
1,2020,0,0,57,5.15,150,4.46,2.3,1,495859.61,87.21,30993.61,0,619.87
1,2020,0,0,59,5.22,70,3.94,2.74,0,329027.06,91.64,0.0,0,658.16
1,2020,0,0,53,4.7,50,4.97,3.18,0,381729.23,89.77,0.0,0,636.29
1,2020,0,0,53,5.65,50,4.72,2.69,0,370540.15,89.59,0.0,0,617.64
1,2020,0,0,57,3.95,150,4.33,2.05,1,528655.99,87.79,33043.61,0,660.87
1,2020,0,0,59,3.82,70,3.52,1.89,0,358469.96,92.54,0.0,0,717.06
1,2020,0,0,59,4.7,70,3.83,2.52,0,339049.8,91.94,0.0,0,678.21
1,2020,0,0,57,5.95,150,4.53,2.44,1,474181.9,86.82,29638.61,0,592.77
1,2020,0,0,53,5.78,50,5.46,4.16,0,350654.95,88.95,0.0,0,584.49
1,2020,0,0,59,5.03,70,4.24,3.34,0,326078.5,91.49,0.0,0,652.26
1,2020,0,0,59,4.6,70,4.57,4.0,0,325829.52,91.39,0.0,0,651.76
