month,year,Factory,Location,CO2 Emissions (kg),Energy Consumption (kWh),Product Category,Supplier,Machine Type,Machine Utilization (%),Water Usage (liters),Profit Margin (%)
1,2020,0,0,867,877,1,0,1,53,6000,12.63
1,2020,0,0,826,665,0,2,0,59,2000,20.76
1,2020,0,0,867,877,1,0,1,53,6000,12.63
1,2020,0,0,826,665,0,2,0,59,2000,20.58
1,2020,0,0,774,932,2,2,2,57,10000,26.35
1,2020,0,0,867,877,1,0,1,53,6000,12.6
1,2020,0,0,774,932,2,2,2,57,10000,26.44
1,2020,0,0,774,932,2,2,2,57,10000,26.61
1,2020,0,0,774,932,2,2,2,57,10000,26.52
1,2020,0,0,826,665,0,2,0,59,2000,20.88
1,2020,0,0,826,665,0,2,0,59,2000,20.63
1,2020,0,0,774,932,2,2,2,57,10000,26.62
1,2020,0,0,774,932,2,2,2,57,10000,26.52
1,2020,0,0,774,932,2,2,2,57,10000,26.67
1,2020,0,0,826,665,0,2,0,59,2000,20.68
1,2020,0,0,774,932,2,2,2,57,10000,26.4
1,2020,0,0,826,665,0,2,0,59,2000,20.73
1,2020,0,0,774,932,2,2,2,57,10000,26.61
1,2020,0,0,867,877,1,0,1,53,6000,12.59
1,2020,0,0,774,932,2,2,2,57,10000,26.41
1,2020,0,0,826,665,0,2,0,59,2000,20.71
1,2020,0,0,867,877,1,0,1,53,6000,12.68
1,2020,0,0,867,877,1,0,1,53,6000,12.63
1,2020,0,0,774,932,2,2,2,57,10000,26.37
1,2020,0,0,826,665,0,2,0,59,2000,20.55
1,2020,0,0,826,665,0,2,0,59,2000,20.67
1,2020,0,0,774,932,2,2,2,57,10000,26.44
1,2020,0,0,867,877,1,0,1,53,6000,12.82
1,2020,0,0,826,665,0,2,0,59,2000,20.79
1,2020,0,0,826,665,0,2,0,59,2000,20.88
1,2020,0,0,826,665,0,2,0,59,2000,20.63
1,2020,0,0,774,932,2,2,2,57,10000,26.62
1,2020,0,0,867,877,1,0,1,53,6000,12.71
1,2020,0,0,774,932,2,2,2,57,10000,26.67
1,2020,0,0,867,877,1,0,1,53,6000,12.61
1,2020,0,0,867,877,1,0,1,53,6000,12.57
1,2020,0,0,774,932,2,2,2,57,10000,26.48
1,2020,0,0,867,877,1,0,1,53,6000,12.82
1,2020,0,0,867,877,1,0,1,53,6000,12.59
1,2020,0,0,774,932,2,2,2,57,10000,26.41
1,2020,0,0,867,877,1,0,1,53,6000,12.63
1,2020,0,0,826,665,0,2,0,59,2000,20.76
1,2020,0,0,867,877,1,0,1,53,6000,12.63
1,2020,0,0,774,932,2,2,2,57,10000,26.37
1,2020,0,0,867,877,1,0,1,53,6000,12.5
1,2020,0,0,867,877,1,0,1,53,6000,12.6
1,2020,0,0,826,665,0,2,0,59,2000,20.68
1,2020,0,0,826,665,0,2,0,59,2000,20.92
1,2020,0,0,867,877,1,0,1,53,6000,12.71
1,2020,0,0,774,932,2,2,2,57,10000,26.58
1,2020,0,0,774,932,2,2,2,57,10000,26.4
1,2020,0,0,774,932,2,2,2,57,10000,26.62
1,2020,0,0,867,877,1,0,1,53,6000,12.71
1,2020,0,0,774,932,2,2,2,57,10000,26.67
1,2020,0,0,826,665,0,2,0,59,2000,20.68
1,2020,0,0,774,932,2,2,2,57,10000,26.4
1,2020,0,0,826,665,0,2,0,59,2000,20.73
1,2020,0,0,774,932,2,2,2,57,10000,26.61
1,2020,0,0,867,877,1,0,1,53,6000,12.59
1,2020,0,0,826,665,0,2,0,59,2000,20.64
1,2020,0,0,867,877,1,0,1,53,6000,12.63
1,2020,0,0,826,665,0,2,0,59,2000,20.76
1,2020,0,0,774,932,2,2,2,57,10000,26.46
1,2020,0,0,826,665,0,2,0,59,2000,20.58
1,2020,0,0,867,877,1,0,1,53,6000,12.5
1,2020,0,0,774,932,2,2,2,57,10000,26.43
1,2020,0,0,826,665,0,2,0,59,2000,20.68
1,2020,0,0,867,877,1,0,1,53,6000,12.82
1,2020,0,0,867,877,1,0,1,53,6000,12.71
1,2020,0,0,867,877,1,0,1,53,6000,12.78
1,2020,0,0,826,665,0,2,0,59,2000,20.63
1,2020,0,0,867,877,1,0,1,53,6000,12.83
1,2020,0,0,867,877,1,0,1,53,6000,12.71
1,2020,0,0,867,877,1,0,1,53,6000,12.89
1,2020,0,0,774,932,2,2,2,57,10000,26.44
1,2020,0,0,774,932,2,2,2,57,10000,26.4
1,2020,0,0,867,877,1,0,1,53,6000,12.65
1,2020,0,0,774,932,2,2,2,57,10000,26.61
1,2020,0,0,867,877,1,0,1,53,6000,12.59
1,2020,0,0,826,665,0,2,0,59,2000,20.64
1,2020,0,0,867,877,1,0,1,53,6000,12.63
1,2020,0,0,826,665,0,2,0,59,2000,20.76
1,2020,0,0,774,932,2,2,2,57,10000,26.46
1,2020,0,0,867,877,1,0,1,53,6000,12.52
1,2020,0,0,867,877,1,0,1,53,6000,12.5
1,2020,0,0,826,665,0,2,0,59,2000,20.67
1,2020,0,0,774,932,2,2,2,57,10000,26.44
1,2020,0,0,826,665,0,2,0,59,2000,20.92
1,2020,0,0,867,877,1,0,1,53,6000,12.71
1,2020,0,0,826,665,0,2,0,59,2000,20.88
1,2020,0,0,826,665,0,2,0,59,2000,20.63
1,2020,0,0,867,877,1,0,1,53,6000,12.83
1,2020,0,0,774,932,2,2,2,57,10000,26.52
2,2020,0,0,826,665,0,2,0,59,2000,20.99
2,2020,0,0,826,665,0,2,0,59,2000,20.68
2,2020,0,0,774,932,2,2,2,57,10000,26.4
2,2020,0,0,867,877,1,0,1,53,6000,12.65
2,2020,0,0,826,665,0,2,0,59,2000,20.92
2,2020,0,0,867,877,1,0,1,53,6000,12.59
2,2020,0,0,867,877,1,0,1,53,6000,12.57
2,2020,0,0,774,932,2,2,2,57,10000,26.46
2,2020,0,0,826,665,0,2,0,59,2000,20.76
2,2020,0,0,826,665,0,2,0,59,2000,20.71
2,2020,0,0,867,877,1,0,1,53,6000,12.52
2,2020,0,0,774,932,2,2,2,57,10000,26.35
2,2020,0,0,867,877,1,0,1,53,6000,12.6
2,2020,0,0,774,932,2,2,2,57,10000,26.44
2,2020,0,0,826,665,0,2,0,59,2000,20.92
2,2020,0,0,826,665,0,2,0,59,2000,20.79
2,2020,0,0,826,665,0,2,0,59,2000,20.88
2,2020,0,0,826,665,0,2,0,59,2000,20.63
2,2020,0,0,867,877,1,0,1,53,6000,12.83
2,2020,0,0,774,932,2,2,2,57,10000,26.52
2,2020,0,0,826,665,0,2,0,59,2000,20.99
2,2020,0,0,826,665,0,2,0,59,2000,20.68
2,2020,0,0,867,877,1,0,1,53,6000,12.57
2,2020,0,0,867,877,1,0,1,53,6000,12.65
2,2020,0,0,867,877,1,0,1,53,6000,12.82
2,2020,0,0,774,932,2,2,2,57,10000,26.43
2,2020,0,0,826,665,0,2,0,59,2000,20.64
2,2020,0,0,867,877,1,0,1,53,6000,12.63
2,2020,0,0,826,665,0,2,0,59,2000,20.76
2,2020,0,0,867,877,1,0,1,53,6000,12.63
2,2020,0,0,774,932,2,2,2,57,10000,26.37
2,2020,0,0,774,932,2,2,2,57,10000,26.35
2,2020,0,0,774,932,2,2,2,57,10000,26.43
2,2020,0,0,826,665,0,2,0,59,2000,20.68
2,2020,0,0,867,877,1,0,1,53,6000,12.82
2,2020,0,0,774,932,2,2,2,57,10000,26.52
2,2020,0,0,826,665,0,2,0,59,2000,20.88
2,2020,0,0,774,932,2,2,2,57,10000,26.4
2,2020,0,0,826,665,0,2,0,59,2000,20.93
2,2020,0,0,867,877,1,0,1,53,6000,12.71
2,2020,0,0,826,665,0,2,0,59,2000,20.99
2,2020,0,0,826,665,0,2,0,59,2000,20.68
2,2020,0,0,867,877,1,0,1,53,6000,12.57
