Cycle Time (minutes),Product Category,Waste Generated (kg),Production Volume (units),Water Usage (liters),Machine Utilization (%),Machine Age (years),Machine Type,Supplier,Operator Experience (years),Revenue ($)
20,1,300,629.39,6000,53,8.89,1,0,5.22,377589.2
10,0,100,665.16,2000,59,6.34,0,2,4.7,332527.05
20,1,300,617.54,6000,53,8.89,1,0,5.65,370480.16
10,0,100,710.21,2000,59,6.34,0,2,3.95,355045.91
30,2,500,667.72,10000,57,7.05,2,2,3.82,534135.2
20,1,300,649.44,6000,53,8.89,1,0,4.7,389617.11
30,2,500,592.97,10000,57,7.05,2,2,5.95,474341.88
30,2,500,563.92,10000,57,7.05,2,2,5.78,451106.26
30,2,500,602.82,10000,57,7.05,2,2,5.03,482222.35
10,0,100,651.76,2000,59,6.34,0,2,4.6,325829.52
10,0,100,643.46,2000,59,6.34,0,2,6.15,321677.48
30,2,500,580.57,10000,57,7.05,2,2,5.12,464425.26
30,2,500,575.42,10000,57,7.05,2,2,6.02,460304.21
30,2,500,611.27,10000,57,7.05,2,2,3.65,488983.97
10,0,100,698.31,2000,59,6.34,0,2,3.9,349098.15
30,2,500,609.17,10000,57,7.05,2,2,5.58,487300.28
10,0,100,663.76,2000,59,6.34,0,2,4.92,331826.78
30,2,500,583.57,10000,57,7.05,2,2,5.08,466824.95
20,1,300,660.69,6000,53,8.89,1,0,4.3,396366.16
30,2,500,619.87,10000,57,7.05,2,2,5.15,495859.61
10,0,100,658.16,2000,59,6.34,0,2,5.22,329027.06
20,1,300,636.29,6000,53,8.89,1,0,4.7,381729.23
20,1,300,617.64,6000,53,8.89,1,0,5.65,370540.15
30,2,500,660.87,10000,57,7.05,2,2,3.95,528655.99
10,0,100,717.06,2000,59,6.34,0,2,3.82,358469.96
10,0,100,678.21,2000,59,6.34,0,2,4.7,339049.8
30,2,500,592.77,10000,57,7.05,2,2,5.95,474181.9
20,1,300,584.49,6000,53,8.89,1,0,5.78,350654.95
10,0,100,652.26,2000,59,6.34,0,2,5.03,326078.5
10,0,100,651.76,2000,59,6.34,0,2,4.6,325829.52
10,0,100,643.86,2000,59,6.34,0,2,6.15,321877.44
30,2,500,580.37,10000,57,7.05,2,2,5.12,464265.29
20,1,300,595.99,6000,53,8.89,1,0,6.02,357552.73
30,2,500,611.67,10000,57,7.05,2,2,3.65,489303.93
20,1,300,669.44,6000,53,8.89,1,0,3.9,401615.63
20,1,300,630.14,6000,53,8.89,1,0,5.58,378038.33
30,2,500,614.32,10000,57,7.05,2,2,4.92,491420.89
20,1,300,604.04,6000,53,8.89,1,0,5.08,362383.44
20,1,300,660.79,6000,53,8.89,1,0,4.3,396426.15
